adamax,alpha_momentum,batch_size,lambda_tikhonov,learning_rate,max_epochs,min_epochs,topology,stats,mean_mean_squared_error,mean_accuracy,var_mean_squared_error,var_accuracy,mean_best_validation_training_error
False,0.6,8,0,0.7,150,50,"{0: ['input_0', None, [], [17, 18, 19, 20]], 1: ['input_0', None, [], [17, 18, 19, 20]], 2: ['input_0', None, [], [17, 18, 19, 20]], 3: ['input_0', None, [], [17, 18, 19, 20]], 4: ['input_0', None, [], [17, 18, 19, 20]], 5: ['input_0', None, [], [17, 18, 19, 20]], 6: ['input_0', None, [], [17, 18, 19, 20]], 7: ['input_0', None, [], [17, 18, 19, 20]], 8: ['input_0', None, [], [17, 18, 19, 20]], 9: ['input_0', None, [], [17, 18, 19, 20]], 10: ['input_0', None, [], [17, 18, 19, 20]], 11: ['input_0', None, [], [17, 18, 19, 20]], 12: ['input_0', None, [], [17, 18, 19, 20]], 13: ['input_0', None, [], [17, 18, 19, 20]], 14: ['input_0', None, [], [17, 18, 19, 20]], 15: ['input_0', None, [], [17, 18, 19, 20]], 16: ['input_0', None, [], [17, 18, 19, 20]], 17: ['hidden_1', 'sigmoid', [1], [21]], 18: ['hidden_1', 'sigmoid', [1], [21]], 19: ['hidden_1', 'sigmoid', [1], [21]], 20: ['hidden_1', 'sigmoid', [1], [21]], 21: ['output_2', 'sigmoid', [1], []]}","{'max_epochs': 150, 'exp_decay_rate_1': 0.9, 'lambda_tikhonov': 0, 'patience': 5, 'learning_rate': 0.0875, 'alpha_momentum': 0.6, 'nesterov': False, 'error_increase_tolerance': inf, 'training_set_len': 100, 'retraing_es_error': -1, 'min_epochs': 50, 'adamax_learning_rate': 0.00025, 'minibatch_size': 8, 'eta_tau': 0.0008749999999999999, 'lr_decay_tau': 0, 'adamax': False, 'exp_decay_rate_2': 0.999, 'epochs': [150, 150, 150, 150, 150], 'mean_metrics': [0.21774636647621345, 0.6916666666666667], 'variance_metrics': [0.0013467819384160723, 0.006666666666666668], 'mean_best_validation_training_error': 0.10483524050913173}",0.2177463664762134,0.6916666666666667,0.001346781938416,0.0066666666666666,0.1048352405091317
False,0.7,4,0,0.7,150,50,"{0: ['input_0', None, [], [17, 18, 19, 20]], 1: ['input_0', None, [], [17, 18, 19, 20]], 2: ['input_0', None, [], [17, 18, 19, 20]], 3: ['input_0', None, [], [17, 18, 19, 20]], 4: ['input_0', None, [], [17, 18, 19, 20]], 5: ['input_0', None, [], [17, 18, 19, 20]], 6: ['input_0', None, [], [17, 18, 19, 20]], 7: ['input_0', None, [], [17, 18, 19, 20]], 8: ['input_0', None, [], [17, 18, 19, 20]], 9: ['input_0', None, [], [17, 18, 19, 20]], 10: ['input_0', None, [], [17, 18, 19, 20]], 11: ['input_0', None, [], [17, 18, 19, 20]], 12: ['input_0', None, [], [17, 18, 19, 20]], 13: ['input_0', None, [], [17, 18, 19, 20]], 14: ['input_0', None, [], [17, 18, 19, 20]], 15: ['input_0', None, [], [17, 18, 19, 20]], 16: ['input_0', None, [], [17, 18, 19, 20]], 17: ['hidden_1', 'sigmoid', [1], [21]], 18: ['hidden_1', 'sigmoid', [1], [21]], 19: ['hidden_1', 'sigmoid', [1], [21]], 20: ['hidden_1', 'sigmoid', [1], [21]], 21: ['output_2', 'sigmoid', [1], []]}","{'max_epochs': 150, 'exp_decay_rate_1': 0.9, 'lambda_tikhonov': 0, 'patience': 5, 'learning_rate': 0.175, 'alpha_momentum': 0.7, 'nesterov': False, 'error_increase_tolerance': inf, 'training_set_len': 100, 'retraing_es_error': -1, 'min_epochs': 50, 'adamax_learning_rate': 0.0005, 'minibatch_size': 4, 'eta_tau': 0.0017499999999999998, 'lr_decay_tau': 0, 'adamax': False, 'exp_decay_rate_2': 0.999, 'epochs': [150, 150, 150, 150, 150], 'mean_metrics': [0.15754993593889882, 0.7916666666666667], 'variance_metrics': [0.0017826875936693722, 0.006249999999999997], 'mean_best_validation_training_error': 0.07265111378947205}",0.1575499359388988,0.7916666666666667,0.0017826875936693,0.0062499999999999,0.072651113789472
False,0.7,8,0,0.6,150,50,"{0: ['input_0', None, [], [17, 18, 19, 20]], 1: ['input_0', None, [], [17, 18, 19, 20]], 2: ['input_0', None, [], [17, 18, 19, 20]], 3: ['input_0', None, [], [17, 18, 19, 20]], 4: ['input_0', None, [], [17, 18, 19, 20]], 5: ['input_0', None, [], [17, 18, 19, 20]], 6: ['input_0', None, [], [17, 18, 19, 20]], 7: ['input_0', None, [], [17, 18, 19, 20]], 8: ['input_0', None, [], [17, 18, 19, 20]], 9: ['input_0', None, [], [17, 18, 19, 20]], 10: ['input_0', None, [], [17, 18, 19, 20]], 11: ['input_0', None, [], [17, 18, 19, 20]], 12: ['input_0', None, [], [17, 18, 19, 20]], 13: ['input_0', None, [], [17, 18, 19, 20]], 14: ['input_0', None, [], [17, 18, 19, 20]], 15: ['input_0', None, [], [17, 18, 19, 20]], 16: ['input_0', None, [], [17, 18, 19, 20]], 17: ['hidden_1', 'sigmoid', [1], [21]], 18: ['hidden_1', 'sigmoid', [1], [21]], 19: ['hidden_1', 'sigmoid', [1], [21]], 20: ['hidden_1', 'sigmoid', [1], [21]], 21: ['output_2', 'sigmoid', [1], []]}","{'max_epochs': 150, 'exp_decay_rate_1': 0.9, 'lambda_tikhonov': 0, 'patience': 5, 'learning_rate': 0.075, 'alpha_momentum': 0.7, 'nesterov': False, 'error_increase_tolerance': inf, 'training_set_len': 100, 'retraing_es_error': -1, 'min_epochs': 50, 'adamax_learning_rate': 0.00025, 'minibatch_size': 8, 'eta_tau': 0.00075, 'lr_decay_tau': 0, 'adamax': False, 'exp_decay_rate_2': 0.999, 'epochs': [150, 150, 150, 150, 150], 'mean_metrics': [0.13806682510970694, 0.8333333333333334], 'variance_metrics': [0.0025039902268957203, 0.00625], 'mean_best_validation_training_error': 0.09368679308848579}",0.1380668251097069,0.8333333333333334,0.0025039902268957,0.00625,0.0936867930884857
False,0.7,8,0,0.4,150,50,"{0: ['input_0', None, [], [17, 18, 19, 20]], 1: ['input_0', None, [], [17, 18, 19, 20]], 2: ['input_0', None, [], [17, 18, 19, 20]], 3: ['input_0', None, [], [17, 18, 19, 20]], 4: ['input_0', None, [], [17, 18, 19, 20]], 5: ['input_0', None, [], [17, 18, 19, 20]], 6: ['input_0', None, [], [17, 18, 19, 20]], 7: ['input_0', None, [], [17, 18, 19, 20]], 8: ['input_0', None, [], [17, 18, 19, 20]], 9: ['input_0', None, [], [17, 18, 19, 20]], 10: ['input_0', None, [], [17, 18, 19, 20]], 11: ['input_0', None, [], [17, 18, 19, 20]], 12: ['input_0', None, [], [17, 18, 19, 20]], 13: ['input_0', None, [], [17, 18, 19, 20]], 14: ['input_0', None, [], [17, 18, 19, 20]], 15: ['input_0', None, [], [17, 18, 19, 20]], 16: ['input_0', None, [], [17, 18, 19, 20]], 17: ['hidden_1', 'sigmoid', [1], [21]], 18: ['hidden_1', 'sigmoid', [1], [21]], 19: ['hidden_1', 'sigmoid', [1], [21]], 20: ['hidden_1', 'sigmoid', [1], [21]], 21: ['output_2', 'sigmoid', [1], []]}","{'max_epochs': 150, 'exp_decay_rate_1': 0.9, 'lambda_tikhonov': 0, 'patience': 5, 'learning_rate': 0.05, 'alpha_momentum': 0.7, 'nesterov': False, 'error_increase_tolerance': inf, 'training_set_len': 100, 'retraing_es_error': -1, 'min_epochs': 50, 'adamax_learning_rate': 0.00025, 'minibatch_size': 8, 'eta_tau': 0.0005, 'lr_decay_tau': 0, 'adamax': False, 'exp_decay_rate_2': 0.999, 'epochs': [150, 150, 150, 150, 150], 'mean_metrics': [0.18127411319146897, 0.7499999999999999], 'variance_metrics': [0.004747175632501279, 0.010416666666666666], 'mean_best_validation_training_error': 0.102764790731352}",0.1812741131914689,0.7499999999999999,0.0047471756325012,0.0104166666666666,0.102764790731352
False,0.6,8,0,0.6,150,50,"{0: ['input_0', None, [], [17, 18, 19, 20]], 1: ['input_0', None, [], [17, 18, 19, 20]], 2: ['input_0', None, [], [17, 18, 19, 20]], 3: ['input_0', None, [], [17, 18, 19, 20]], 4: ['input_0', None, [], [17, 18, 19, 20]], 5: ['input_0', None, [], [17, 18, 19, 20]], 6: ['input_0', None, [], [17, 18, 19, 20]], 7: ['input_0', None, [], [17, 18, 19, 20]], 8: ['input_0', None, [], [17, 18, 19, 20]], 9: ['input_0', None, [], [17, 18, 19, 20]], 10: ['input_0', None, [], [17, 18, 19, 20]], 11: ['input_0', None, [], [17, 18, 19, 20]], 12: ['input_0', None, [], [17, 18, 19, 20]], 13: ['input_0', None, [], [17, 18, 19, 20]], 14: ['input_0', None, [], [17, 18, 19, 20]], 15: ['input_0', None, [], [17, 18, 19, 20]], 16: ['input_0', None, [], [17, 18, 19, 20]], 17: ['hidden_1', 'sigmoid', [1], [21]], 18: ['hidden_1', 'sigmoid', [1], [21]], 19: ['hidden_1', 'sigmoid', [1], [21]], 20: ['hidden_1', 'sigmoid', [1], [21]], 21: ['output_2', 'sigmoid', [1], []]}","{'max_epochs': 150, 'exp_decay_rate_1': 0.9, 'lambda_tikhonov': 0, 'patience': 5, 'learning_rate': 0.075, 'alpha_momentum': 0.6, 'nesterov': False, 'error_increase_tolerance': inf, 'training_set_len': 100, 'retraing_es_error': -1, 'min_epochs': 50, 'adamax_learning_rate': 0.00025, 'minibatch_size': 8, 'eta_tau': 0.00075, 'lr_decay_tau': 0, 'adamax': False, 'exp_decay_rate_2': 0.999, 'epochs': [150, 150, 150, 150, 150], 'mean_metrics': [0.16782160362952472, 0.8], 'variance_metrics': [0.005671690683220996, 0.009305555555555562], 'mean_best_validation_training_error': 0.08323661274756666}",0.1678216036295247,0.8,0.0056716906832209,0.0093055555555555,0.0832366127475666
False,0.7,4,0,0.6,150,50,"{0: ['input_0', None, [], [17, 18, 19, 20]], 1: ['input_0', None, [], [17, 18, 19, 20]], 2: ['input_0', None, [], [17, 18, 19, 20]], 3: ['input_0', None, [], [17, 18, 19, 20]], 4: ['input_0', None, [], [17, 18, 19, 20]], 5: ['input_0', None, [], [17, 18, 19, 20]], 6: ['input_0', None, [], [17, 18, 19, 20]], 7: ['input_0', None, [], [17, 18, 19, 20]], 8: ['input_0', None, [], [17, 18, 19, 20]], 9: ['input_0', None, [], [17, 18, 19, 20]], 10: ['input_0', None, [], [17, 18, 19, 20]], 11: ['input_0', None, [], [17, 18, 19, 20]], 12: ['input_0', None, [], [17, 18, 19, 20]], 13: ['input_0', None, [], [17, 18, 19, 20]], 14: ['input_0', None, [], [17, 18, 19, 20]], 15: ['input_0', None, [], [17, 18, 19, 20]], 16: ['input_0', None, [], [17, 18, 19, 20]], 17: ['hidden_1', 'sigmoid', [1], [21]], 18: ['hidden_1', 'sigmoid', [1], [21]], 19: ['hidden_1', 'sigmoid', [1], [21]], 20: ['hidden_1', 'sigmoid', [1], [21]], 21: ['output_2', 'sigmoid', [1], []]}","{'max_epochs': 150, 'exp_decay_rate_1': 0.9, 'lambda_tikhonov': 0, 'patience': 5, 'learning_rate': 0.15, 'alpha_momentum': 0.7, 'nesterov': False, 'error_increase_tolerance': inf, 'training_set_len': 100, 'retraing_es_error': -1, 'min_epochs': 50, 'adamax_learning_rate': 0.0005, 'minibatch_size': 4, 'eta_tau': 0.0015, 'lr_decay_tau': 0, 'adamax': False, 'exp_decay_rate_2': 0.999, 'epochs': [150, 150, 150, 150, 150], 'mean_metrics': [0.13135517285532447, 0.85], 'variance_metrics': [0.010692500955838746, 0.014305555555555561], 'mean_best_validation_training_error': 0.04648346363680414}",0.1313551728553244,0.85,0.0106925009558387,0.0143055555555555,0.0464834636368041
False,0.6,8,0,0.4,150,50,"{0: ['input_0', None, [], [17, 18, 19, 20]], 1: ['input_0', None, [], [17, 18, 19, 20]], 2: ['input_0', None, [], [17, 18, 19, 20]], 3: ['input_0', None, [], [17, 18, 19, 20]], 4: ['input_0', None, [], [17, 18, 19, 20]], 5: ['input_0', None, [], [17, 18, 19, 20]], 6: ['input_0', None, [], [17, 18, 19, 20]], 7: ['input_0', None, [], [17, 18, 19, 20]], 8: ['input_0', None, [], [17, 18, 19, 20]], 9: ['input_0', None, [], [17, 18, 19, 20]], 10: ['input_0', None, [], [17, 18, 19, 20]], 11: ['input_0', None, [], [17, 18, 19, 20]], 12: ['input_0', None, [], [17, 18, 19, 20]], 13: ['input_0', None, [], [17, 18, 19, 20]], 14: ['input_0', None, [], [17, 18, 19, 20]], 15: ['input_0', None, [], [17, 18, 19, 20]], 16: ['input_0', None, [], [17, 18, 19, 20]], 17: ['hidden_1', 'sigmoid', [1], [21]], 18: ['hidden_1', 'sigmoid', [1], [21]], 19: ['hidden_1', 'sigmoid', [1], [21]], 20: ['hidden_1', 'sigmoid', [1], [21]], 21: ['output_2', 'sigmoid', [1], []]}","{'max_epochs': 150, 'exp_decay_rate_1': 0.9, 'lambda_tikhonov': 0, 'patience': 5, 'learning_rate': 0.05, 'alpha_momentum': 0.6, 'nesterov': False, 'error_increase_tolerance': inf, 'training_set_len': 100, 'retraing_es_error': -1, 'min_epochs': 50, 'adamax_learning_rate': 0.00025, 'minibatch_size': 8, 'eta_tau': 0.0005, 'lr_decay_tau': 0, 'adamax': False, 'exp_decay_rate_2': 0.999, 'epochs': [150, 150, 150, 150, 150], 'mean_metrics': [0.16416732588636546, 0.8], 'variance_metrics': [0.0003636794803507429, 0.0002777777777777788], 'mean_best_validation_training_error': 0.1107670908501364}",0.1641673258863654,0.8,0.0003636794803507,0.0002777777777777,0.1107670908501364
False,0.6,8,0,0.5,150,50,"{0: ['input_0', None, [], [17, 18, 19, 20]], 1: ['input_0', None, [], [17, 18, 19, 20]], 2: ['input_0', None, [], [17, 18, 19, 20]], 3: ['input_0', None, [], [17, 18, 19, 20]], 4: ['input_0', None, [], [17, 18, 19, 20]], 5: ['input_0', None, [], [17, 18, 19, 20]], 6: ['input_0', None, [], [17, 18, 19, 20]], 7: ['input_0', None, [], [17, 18, 19, 20]], 8: ['input_0', None, [], [17, 18, 19, 20]], 9: ['input_0', None, [], [17, 18, 19, 20]], 10: ['input_0', None, [], [17, 18, 19, 20]], 11: ['input_0', None, [], [17, 18, 19, 20]], 12: ['input_0', None, [], [17, 18, 19, 20]], 13: ['input_0', None, [], [17, 18, 19, 20]], 14: ['input_0', None, [], [17, 18, 19, 20]], 15: ['input_0', None, [], [17, 18, 19, 20]], 16: ['input_0', None, [], [17, 18, 19, 20]], 17: ['hidden_1', 'sigmoid', [1], [21]], 18: ['hidden_1', 'sigmoid', [1], [21]], 19: ['hidden_1', 'sigmoid', [1], [21]], 20: ['hidden_1', 'sigmoid', [1], [21]], 21: ['output_2', 'sigmoid', [1], []]}","{'max_epochs': 150, 'exp_decay_rate_1': 0.9, 'lambda_tikhonov': 0, 'patience': 5, 'learning_rate': 0.0625, 'alpha_momentum': 0.6, 'nesterov': False, 'error_increase_tolerance': inf, 'training_set_len': 100, 'retraing_es_error': -1, 'min_epochs': 50, 'adamax_learning_rate': 0.00025, 'minibatch_size': 8, 'eta_tau': 0.000625, 'lr_decay_tau': 0, 'adamax': False, 'exp_decay_rate_2': 0.999, 'epochs': [150, 150, 150, 150, 150], 'mean_metrics': [0.17992168182009458, 0.7833333333333334], 'variance_metrics': [0.00456671614004644, 0.007916666666666669], 'mean_best_validation_training_error': 0.11889400562890166}",0.1799216818200945,0.7833333333333334,0.0045667161400464,0.0079166666666666,0.1188940056289016
False,0.7,8,0,0.7,150,50,"{0: ['input_0', None, [], [17, 18, 19, 20]], 1: ['input_0', None, [], [17, 18, 19, 20]], 2: ['input_0', None, [], [17, 18, 19, 20]], 3: ['input_0', None, [], [17, 18, 19, 20]], 4: ['input_0', None, [], [17, 18, 19, 20]], 5: ['input_0', None, [], [17, 18, 19, 20]], 6: ['input_0', None, [], [17, 18, 19, 20]], 7: ['input_0', None, [], [17, 18, 19, 20]], 8: ['input_0', None, [], [17, 18, 19, 20]], 9: ['input_0', None, [], [17, 18, 19, 20]], 10: ['input_0', None, [], [17, 18, 19, 20]], 11: ['input_0', None, [], [17, 18, 19, 20]], 12: ['input_0', None, [], [17, 18, 19, 20]], 13: ['input_0', None, [], [17, 18, 19, 20]], 14: ['input_0', None, [], [17, 18, 19, 20]], 15: ['input_0', None, [], [17, 18, 19, 20]], 16: ['input_0', None, [], [17, 18, 19, 20]], 17: ['hidden_1', 'sigmoid', [1], [21]], 18: ['hidden_1', 'sigmoid', [1], [21]], 19: ['hidden_1', 'sigmoid', [1], [21]], 20: ['hidden_1', 'sigmoid', [1], [21]], 21: ['output_2', 'sigmoid', [1], []]}","{'max_epochs': 150, 'exp_decay_rate_1': 0.9, 'lambda_tikhonov': 0, 'patience': 5, 'learning_rate': 0.0875, 'alpha_momentum': 0.7, 'nesterov': False, 'error_increase_tolerance': inf, 'training_set_len': 100, 'retraing_es_error': -1, 'min_epochs': 50, 'adamax_learning_rate': 0.00025, 'minibatch_size': 8, 'eta_tau': 0.0008749999999999999, 'lr_decay_tau': 0, 'adamax': False, 'exp_decay_rate_2': 0.999, 'epochs': [150, 150, 150, 150, 150], 'mean_metrics': [0.17080261071333008, 0.775], 'variance_metrics': [0.00337382006076604, 0.011527777777777781], 'mean_best_validation_training_error': 0.08963999888440739}",0.17080261071333,0.775,0.003373820060766,0.0115277777777777,0.0896399988844073
False,0.6,4,0,0.5,150,50,"{0: ['input_0', None, [], [17, 18, 19, 20]], 1: ['input_0', None, [], [17, 18, 19, 20]], 2: ['input_0', None, [], [17, 18, 19, 20]], 3: ['input_0', None, [], [17, 18, 19, 20]], 4: ['input_0', None, [], [17, 18, 19, 20]], 5: ['input_0', None, [], [17, 18, 19, 20]], 6: ['input_0', None, [], [17, 18, 19, 20]], 7: ['input_0', None, [], [17, 18, 19, 20]], 8: ['input_0', None, [], [17, 18, 19, 20]], 9: ['input_0', None, [], [17, 18, 19, 20]], 10: ['input_0', None, [], [17, 18, 19, 20]], 11: ['input_0', None, [], [17, 18, 19, 20]], 12: ['input_0', None, [], [17, 18, 19, 20]], 13: ['input_0', None, [], [17, 18, 19, 20]], 14: ['input_0', None, [], [17, 18, 19, 20]], 15: ['input_0', None, [], [17, 18, 19, 20]], 16: ['input_0', None, [], [17, 18, 19, 20]], 17: ['hidden_1', 'sigmoid', [1], [21]], 18: ['hidden_1', 'sigmoid', [1], [21]], 19: ['hidden_1', 'sigmoid', [1], [21]], 20: ['hidden_1', 'sigmoid', [1], [21]], 21: ['output_2', 'sigmoid', [1], []]}","{'max_epochs': 150, 'exp_decay_rate_1': 0.9, 'lambda_tikhonov': 0, 'patience': 5, 'learning_rate': 0.125, 'alpha_momentum': 0.6, 'nesterov': False, 'error_increase_tolerance': inf, 'training_set_len': 100, 'retraing_es_error': -1, 'min_epochs': 50, 'adamax_learning_rate': 0.0005, 'minibatch_size': 4, 'eta_tau': 0.00125, 'lr_decay_tau': 0, 'adamax': False, 'exp_decay_rate_2': 0.999, 'epochs': [150, 150, 150, 150, 150], 'mean_metrics': [0.1912639591833185, 0.7666666666666666], 'variance_metrics': [0.006737276305645944, 0.01569444444444444], 'mean_best_validation_training_error': 0.08304016456037153}",0.1912639591833185,0.7666666666666666,0.0067372763056459,0.0156944444444444,0.0830401645603715
